id,display_name,category,cost_wood,cost_stone,cost_iron,cost_coal,cost_gold,cost_ironbar,housing_capacity,max_workers,batches_per_tick,production_interval_sec,max_health,defense,fog_reveal_radius,storage_group,storage_capacity,storage_capacity_2,storage_capacity_3,max_health_2,max_health_3,defense_2,defense_3,housing_capacity_2,housing_capacity_3,max_workers_2,max_workers_3,batches_per_tick_2,batches_per_tick_3,requires,up2_wood,up2_stone,up2_iron,up2_coal,up2_gold,up3_wood,up3_stone,up3_iron,up3_coal,up3_gold,comment,total_cost,per_day,payback_days,starts_unlocked,research_coins,research_sec,research_coins_2,research_sec_2,research_coins_3,research_sec_3,happiness,happiness_2,happiness_3,citizens_on_build,harvest_radius,harvest_radius_2,harvest_radius_3,service_radius,service_radius_2,service_radius_3
BigBarn,Большой амбар,Storage,70,30,,,,0,0,0,0,6,220,0,8,Grain,550,1100,1900,352,550,,,,,,,,,Barn,112,48,,,,196,84,,,,Второй ярус амбара: требует Амбар.,100,0,,0,60,60,90,60,150,120,,,,,,,,,,
BigTreasury,Большая сокровищница,Storage,30,110,,,,0,0,0,0,6,420,0,8,Valuables,1300,2600,4600,672,1050,,,,,,,,,Treasury,48,176,,,,84,308,,,,Второй ярус хранения ценностей: требует Сокровищницу.,140,0,,0,85,60,125,60,210,120,,,,,,,,,,
Tower,Башня,Defence,5,15,0,0,0,0,0,0,0,6,220,25,18,,,,,352,550,40,63,,,,,,,Fence,8,24,12,0,0,14,42,26,0,0,"Требует Забор: башня усиливает линию обороны, а не стоит сама по себе",20,0,,0,10,60,20,60,30,120,,,,,,,,,,
Barracks,Казарма,Defence,15,30,0,0,0,0,0,0,0,6,180,10,10,,,,,288,450,16,25,,,,,,,,24,48,15,0,0,42,84,32,0,0,Оружие и броня для большего гарнизона — самый крупный сток железа в игре.,45,0,,1,0,0,40,60,70,120,,,,,,,,,,
Gate,Ворота,Defence,5,12,0,0,0,0,0,0,0,6,160,12,8,,,,,256,400,19,30,,,,,,,,8,19,8,0,0,14,34,18,0,0,,17,0,,1,0,0,15,60,25,120,,,,,,,,,,
FortifiedTower,Укреплённая башня,Defence,10,40,0,0,0,8,0,0,0,6,480,55,20,,,,,768,1200,88,138,,,,,,,Tower,16,64,13,0,0,28,112,22,0,0,"Второй ярус обороны: требует обычную Башню. Камень и железо вместо дерева — это уже кладка, а не сруб.",58,0,,0,35,60,50,60,85,120,,,,,,,,,,
FortifiedGate,Укреплённые ворота,Defence,10,30,0,0,0,6,0,0,0,6,340,26,8,,,,,544,850,42,65,,,,,,,Gate,16,48,10,0,0,28,84,17,0,0,Второй ярус ворот: требует обычные Ворота.,46,0,,0,30,60,40,60,70,120,,,,,,,,,,
Fence,Забор,Defence,3,0,0,0,0,0,0,0,0,6,50,0,4,,,,,80,125,,,,,,,,,,0,8,0,0,0,0,20,0,0,0,"Уровни меняют материал, а не только цену: 2 — тонкий камень, 3 — толстый, поэтому апгрейды заданы руками.",3,0,,1,0,0,15,60,25,120,,,,,,,,,,
Road,Дорога,City,0,3,0,0,0,0,0,0,0,6,40,0,4,,,,,64,100,,,,,,,,,,0,5,0,0,0,0,8,0,0,0,,3,0,,1,0,0,15,60,25,120,,,,,,,,,,
Bridge,Мост,Water,8,0,0,0,0,0,0,0,0,6,40,0,4,,,,,64,100,,,,,,,,,,13,0,0,0,0,22,0,0,0,0,,8,0,,0,10,60,15,60,25,120,,,,,,,,,,
WaterMill,Водяная мельница,Water,25,10,0,0,0,0,0,0,0,6,90,0,12,,,,,144,225,,,,,,,,,,40,16,0,0,0,70,28,0,0,0,Заглушка: производство не продумано (Водные).,35,180,"0,2",0,20,60,30,60,50,120,,,,,,,,,,
Dock,Пристань,Water,20,8,0,0,0,0,0,0,0,6,80,0,12,,,,,128,200,,,,,,,,,,32,13,0,0,0,56,22,0,0,0,Заглушка: производство не продумано (Водные).,28,40,"0,7",0,15,60,25,60,40,120,,,,,,,,,,
TownSquare,Городская площадь,Entertainment,5,20,0,0,0,0,0,0,0,6,90,0,6,,,,,144,225,,,,,,,,,,8,32,0,0,0,14,56,0,0,0,Украшение. Пока ни на что не влияет — ждёт систему довольства.,25,0,,1,0,0,20,60,40,120,5,8,13,,,,,,,
Flag,Флаг,Entertainment,4,1,0,0,0,0,0,0,0,6,40,0,6,,,,,64,100,,,,,,,,,,6,2,0,0,0,11,3,0,0,0,Украшение. Пока ни на что не влияет — ждёт систему довольства.,5,0,,1,0,0,15,60,25,120,1,2,3,,,,,,,
DecTree,Декоративное дерево,Entertainment,3,0,0,0,0,0,0,0,0,6,40,0,3,,,,,64,100,,,,,,,,,,5,0,0,0,0,8,0,0,0,0,Украшение. Пока ни на что не влияет — ждёт систему довольства.,3,0,,1,0,0,15,60,25,120,1,2,3,,,,,,,
DecBush,Декоративный куст,Entertainment,2,0,0,0,0,0,0,0,0,6,30,0,3,,,,,48,75,,,,,,,,,,3,0,0,0,0,6,0,0,0,0,Украшение. Пока ни на что не влияет — ждёт систему довольства.,2,0,,1,0,0,15,60,25,120,1,2,3,,,,,,,
DecGarden,Декоративный сад,Entertainment,5,2,0,0,0,0,0,0,0,6,60,0,4,,,,,96,150,,,,,,,,,,8,3,0,0,0,14,6,0,0,0,Украшение. Пока ни на что не влияет — ждёт систему довольства.,7,0,,0,10,60,15,60,25,120,2,3,5,,,,,,,
Granary,Кладовая,Storage,25,5,0,0,0,0,0,0,0,6,110,0,8,Food,200,400,700,176,275,,,,,,,,,,40,8,0,0,0,70,14,0,0,0,"Кладовая: готовая и сырая еда — мясо, рыба, хлеб, овощи, фрукты.",30,0,,1,0,0,25,60,45,120,,,,,,,,,,
BigGranary,Большая кладовая,Storage,70,30,0,0,0,0,0,0,0,6,230,0,8,Food,550,1100,1900,368,575,,,,,,,,,Granary,112,48,0,0,0,196,84,0,0,0,Второй ярус кладовой: требует Кладовую.,100,0,,0,60,60,90,60,150,120,,,,,,,,,,
Baker,Пекарня,Food,30,10,0,0,0,0,0,3,2,24,110,0,10,,,,,176,275,,,,,4,5,,,Windmill,48,16,0,0,0,84,28,0,0,0,Мука -> хлеб. 1 мука даёт 2 хлеба.,40,0,,0,25,60,35,60,60,120,,,,,,,,,,
Windmill,Ветряк,Food,35,10,0,0,0,0,0,3,2,24,120,0,12,,,,,192,300,,,,,4,5,,,Farm,56,16,0,0,0,98,28,0,0,0,Пшеница -> мука. 2 пшеницы дают 1 муку.,45,0,,0,25,60,40,60,70,120,,,,,,,,,,
Smokehouse,Коптильня,Food,25,8,0,0,0,0,0,0,0,6,110,0,10,,,,,176,275,,,,,,,,,,40,13,0,0,0,70,22,0,0,0,Заглушка: ждёт переработку (мясо -> копчёности).,33,0,,0,20,60,30,60,50,120,,,,,,,,,,
PigFarm,Свиноферма,Food,30,5,0,0,0,0,0,0,0,6,120,0,10,,,,,192,300,,,,,,,,,,48,8,0,0,0,84,14,0,0,0,Заглушка: ждёт производство мяса.,35,0,,0,20,60,30,60,50,120,,,,,,,,,,
Orchard,Фруктовый сад,Food,20,0,0,0,0,0,0,0,0,6,80,0,10,,,,,128,200,,,,,,,,,,32,0,0,0,0,56,0,0,0,0,Заглушка: ждёт производство фруктов.,20,0,,1,0,0,20,60,30,120,,,,,,,,,,
Smelter,Плавильня,Production,35,25,0,0,0,0,0,2,1,6,150,0,12,,,,,240,375,,,,,3,4,,,,56,40,0,0,0,98,70,0,0,0,Металл выбирает игрок в карточке здания.,60,0,,0,35,60,55,60,90,120,,,,,,,,,,
CopperMine,Медный рудник,Production,25,15,0,0,0,0,0,3,1,6,110,0,14,,,,,176,275,,,,,,,,,,40,24,0,0,0,70,42,0,0,0,Руда -> Плавильня.,40,0,,0,25,60,35,60,60,120,,,,,,,,,,
GoldMine,Золотой рудник,Production,30,20,0,0,0,0,0,3,1,6,120,0,14,,,,,192,300,,,,,,,,,,48,32,0,0,0,84,56,0,0,0,Руда -> Плавильня.,50,0,,0,30,60,45,60,75,120,,,,,,,,,,
Laboratory,Лаборатория,City,40,30,0,0,0,0,0,10,0,6,160,0,12,,,,,256,400,,,,,,,,,,64,48,16,0,0,112,84,28,0,0,Изучение. Десять мест для учёных. Свои уровни качает за ресурсы — их не изучают,70,0,,1,0,0,0,0,0,0,,,,,,,,,,
HealerHouse,Дом лекаря,City,30,15,0,0,0,0,0,2,0,6,130,0,10,,,,,208,325,,,,,3,4,,,,48,24,0,0,0,84,42,0,0,0,Заглушка: ждёт систему болезней.,45,0,,0,25,60,40,60,70,120,,,,,,,,16,20,26
FireBrigade,Пожарная бригада,City,30,15,0,0,0,0,0,2,0,6,130,0,10,,,,,208,325,,,,,3,4,,,,48,24,0,0,0,84,42,0,0,0,Заглушка: ждёт систему пожаров.,45,0,,0,25,60,40,60,70,120,,,,,,,,18,24,30
Well,Колодец,City,5,10,0,0,0,0,0,0,0,6,60,0,6,,,,,96,150,,,,,,,,,,8,16,0,0,0,14,28,0,0,0,"Заглушка: ждёт воду, пожары и влияние на еду.",15,0,,1,0,0,15,60,25,120,,,,,,,,14,18,24
Church,Церковь,Entertainment,40,30,0,0,0,0,0,0,0,6,180,0,10,,,,,288,450,,,,,,,,,,64,48,0,0,0,112,84,0,0,0,Заглушка: ждёт систему довольства.,70,0,,0,40,60,65,60,105,120,8,13,20,,,,,,,
Tavern,Таверна,Entertainment,35,15,0,0,0,0,0,0,0,6,150,0,10,,,,,240,375,,,,,,,,,,56,24,0,0,0,98,42,0,0,0,Заглушка: ждёт систему довольства.,50,0,,0,30,60,45,60,75,120,10,16,25,,,,,,,
Theater,Театр,Entertainment,50,35,0,0,0,0,0,0,0,6,180,0,10,,,,,288,450,,,,,,,,,,80,56,0,0,0,140,98,0,0,0,Заглушка: ждёт систему довольства.,85,0,,0,50,60,75,60,130,120,15,24,38,,,,,,,
Colosseum,Коллизей,Entertainment,90,80,0,0,0,0,0,0,0,6,320,0,14,,,,,512,800,,,,,,,,,,144,128,0,0,0,252,224,0,0,0,Заглушка: ждёт систему довольства.,170,0,,0,100,60,150,60,250,120,25,40,63,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Жёлтые ячейки — правишь ты. Серые считаются формулами.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Колонку id читает код: переименование строки = здание без баланса,сборка скажет об этом ошибкой.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Визуал (размер в клетках,высота,цвета,модель) живёт в SetupProject.cs и в таблицу не переносится.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_day и payback_days считают только производство: сколько ресурса в день на полном штате и за сколько дней отбивается постройка.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Визуал (размер в клетках, высота, цвета, модель) живёт в SetupProject.cs и в таблицу не переносится.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_day и payback_days считают только производство: сколько ресурса в день на полном штате и за сколько дней отбивается постройка.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
