key,ru,en,comment
#log_destroyed_combat,Разрушено в бою: {0},Destroyed in battle: {0},
#log_no_input,{0}: не хватает сырья ({1}),{0}: out of raw material ({1}),
#log_no_storage,"Некуда складывать: {0} работает впустую, нужно хранилище","Nowhere to put it: {0} is working for nothing, build a storehouse",
#log_fed,Поселение снова сыто.,The settlement is fed again.,
#log_hungry,"Голод: не хватает еды ({0}). Люди начнут умирать, если не накормить.",Hunger: {0} short. People will start dying unless they are fed.,
#log_starved,Голод: умерло жителей — {0},Starvation: citizens lost — {0},
#log_recruited,{0}: нанят боец ({1}/{2}),{0}: soldier recruited ({1}/{2}),
#log_soldier_died,Боец погиб в бою.,A soldier fell in battle.,
#log_disbanded,Нечем платить содержание: распущено бойцов — {0},No coins for upkeep: soldiers disbanded — {0},
#log_portal_opened,На карте открылся портал орков.,An orc portal has opened.,
#log_portal_destroyed,Портал орков разрушен!,The orc portal is destroyed!,
#log_raid,Орки начали набег ({0}),The orcs are raiding ({0}),
#log_happiness_low,Довольство упало до критического уровня ({0}%),Contentment has fallen to a critical level ({0}%),
#log_happiness_recovered,Довольство восстановилось ({0}%),Contentment has recovered ({0}%),
#log_defeat_townhall,Поражение: Ратуша разрушена.,Defeat: the Town Hall is destroyed.,
#log_defeat_empty,Поражение: в поселении не осталось жителей.,Defeat: no citizens remain in the settlement.,
#log_victory,Победа: все порталы орков закрыты!,Victory: every orc portal is closed!,
#log_tier_up,Поселение выросло. Теперь это: {0}.,The settlement has grown. It is now a {0}.,
#tier_hamlet,Хутор,Hamlet,
#tier_village,Деревня,Village,
#tier_town,Городок,Town,
#tier_city,Город,City,
#tier_kingdom,Королевство,Kingdom,
#category_city,Город,City,
#category_storage,Склады,Storage,
#category_entertainment,Развлечения,Leisure,
#category_defence,Оборонительные,Defence,
#category_production,Производственные,Industry,
#category_food,Производство еды,Food,
#category_water,Водные,Water,
#resource_wood,дерево,timber,
#resource_stone,камень,stone,
#resource_food,еда,food,
#resource_gold,золотая руда,gold ore,
#resource_population,жители,citizens,
#resource_iron,железная руда,iron ore,
#resource_coal,уголь,coal,
#resource_coins,монеты,coins,
#resource_grain,пшеница,wheat,
#resource_flour,мука,flour,
#resource_bread,хлеб,bread,
#resource_copperore,медная руда,copper ore,
#resource_ironbar,железный слиток,iron bar,
#resource_copperbar,медный слиток,copper bar,
#resource_goldbar,золотой слиток,gold bar,
#building_hovel,Лачуга,Hovel,
#building_cottage,Коттедж,Cottage,
#building_manor,Особняк,Manor,
#building_castle,Ратуша,Town Hall,
#building_fisherhut,Рыбацкая хижина,Fisherman's Hut,
#building_farm,Ферма,Farm,
#building_sawmill,Лесопилка,Sawmill,
#building_quarry,Каменоломня,Quarry,
#building_ironmine,Железный рудник,Iron Mine,
#building_coalmine,Угольный рудник,Coal Mine,
#building_warehouse,Склад,Warehouse,
#building_barn,Амбар,Barn,
#building_treasury,Сокровищница,Treasury,
#building_bigwarehouse,Большой склад,Great Warehouse,
#building_bigbarn,Большой амбар,Great Barn,
#building_bigtreasury,Большая сокровищница,Great Treasury,
#building_tower,Башня,Tower,
#building_barracks,Казарма,Barracks,
#building_gate,Ворота,Gate,
#building_fortifiedtower,Укреплённая башня,Fortified Tower,
#building_fortifiedgate,Укреплённые ворота,Fortified Gate,
#building_fence,Забор,Fence,
#building_road,Дорога,Road,
#building_bridge,Мост,Bridge,
#building_watermill,Водяная мельница,Water Mill,
#building_dock,Пристань,Dock,
#building_townsquare,Городская площадь,Town Square,
#building_flag,Флаг,Flag,
#building_dectree,Декоративное дерево,Ornamental Tree,
#building_decbush,Декоративный куст,Ornamental Bush,
#building_decgarden,Декоративный сад,Ornamental Garden,
#building_granary,Кладовая,Pantry,
#building_biggranary,Большая кладовая,Great Pantry,
#building_baker,Пекарня,Bakery,
#building_windmill,Ветряк,Windmill,
#building_smokehouse,Коптильня,Smokehouse,
#building_pigfarm,Свиноферма,Pig Farm,
#building_orchard,Фруктовый сад,Orchard,
#building_smelter,Плавильня,Smelter,
#building_coppermine,Медный рудник,Copper Mine,
#building_goldmine,Золотой рудник,Gold Mine,
#building_laboratory,Лаборатория,Laboratory,
#building_healerhouse,Дом лекаря,Healer's House,
#building_firebrigade,Пожарная бригада,Fire Brigade,
#building_well,Колодец,Well,
#building_church,Церковь,Church,
#building_tavern,Таверна,Tavern,
#building_theater,Театр,Theatre,
#building_colosseum,Коллизей,Colosseum,
#recipe_wood,Дерево,Timber,
#recipe_stone,Камень,Stone,
#recipe_iron_ore,Железная руда,Iron Ore,
#recipe_coal,Уголь,Coal,
#recipe_copper_ore,Медная руда,Copper Ore,
#recipe_gold_ore,Золотая руда,Gold Ore,
#recipe_fish,Еда,Food,
#recipe_grain,Пшеница,Wheat,
#recipe_flour,Мука,Flour,
#recipe_bread,Хлеб,Bread,
#recipe_iron_bar,Железный слиток,Iron Bar,
#recipe_copper_bar,Медный слиток,Copper Bar,
#recipe_gold_bar,Золотой слиток,Gold Bar,
#research_tab_buildings,Изучение зданий,Buildings,
#research_tab_units,Изучение солдат,Soldiers,
#research_empty,Здесь пока нечего изучать,Nothing to research here yet,
#research_empty_lab_level,Откроется с Лабораторией {0} уровня,Unlocked by a level {0} Laboratory,Пустая вкладка без причины читается как поломка
#research_start,Изучить,Research,
#research_done,Изучено,Researched,
#research_idle,Ничего не изучается,Nothing is being researched,
#research_running,Изучается: {0} — осталось {1} с,Researching: {0} — {1}s left,"{0} — тема, {1} — секунды"
#research_paused,Изучается: {0} — нет учёных,Researching: {0} — no scientists,Изучение стоит на месте пока в лаборатории никого нет
#research_cancel,Отменить (вернётся {0} монет),Cancel (refunds {0} coins),
#research_cost,{0} монет · {1} с,{0} coins · {1}s,
#research_unit_gain,"прочность +{0}, урон +{1}","health +{0}, damage +{1}",Не начинать строку с плюса — Google Sheets прочтёт её как формулу
#research_scientists,Учёные: {0} / {1}   ·   свободных: {2},Scientists: {0} / {1}   ·   idle: {2},
#research_lab_state,Уровень {0} / {1}   ·   Прочность {2}/{3}   ·   Ветхость {4},Level {0} / {1}   ·   Health {2}/{3}   ·   Wear {4},
#research_unlock,Открыть: {0},Unlock: {0},
#research_level,{0} — уровень {1},{0} — level {1},
#research_blocked_busy,Уже идёт другое изучение,Another research is under way,
#research_blocked_no_lab,Нужна лаборатория,A Laboratory is needed,
#research_blocked_lab_level,Нужна лаборатория {0} уровня,Needs a level {0} Laboratory,
#research_blocked_prereq,Сначала: {0},First: {0},
#research_blocked_workers,Нужен хотя бы один учёный,Needs at least one scientist,
#research_blocked_coins,Не хватает монет,Not enough coins,
#research_blocked_unknown,Неизвестная тема изучения,Unknown research topic,
#building_upgrade_locked,Уровень {0} ещё не изучен в лаборатории,Level {0} is not researched yet,
#workforce_research,ведёт изучение,does research,
#log_research_started,Начато изучение: {0},Research started: {0},
#log_research_done,Изучено: {0},Researched: {0},
#log_research_cancelled,Изучение отменено: {0},Research cancelled: {0},
#log_research_lost,"Лаборатория потеряна — изучение «{0}» прервано, монеты возвращены","Laboratory lost — research {0} stopped, coins refunded",
Ключ читает код: переименование значит потерянную надпись (в игре останется сам ключ).,,,
"Текст не должен начинаться с плюса, минуса, равно или собаки: таблица примет его за формулу и покажет ошибку.",,,
Пустая ячейка перевода = показывается русский. Фигурные скобки {0} обязаны остаться на месте.,,,
